open,high,low,close,volume,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,symbol,price_change,price_change_pct,high_low_pct,volume_usd,price_range,volume_ma_7,volume_ratio,close_ma_7,close_std_7,close_ma_14,close_std_14,close_ma_30,close_std_30,returns_1d,returns_7d,returns_30d,volatility_7d,volatility_30d,close_position,hour,day_of_week,month,quarter
3191.04,3211.35,3181.1,3205.01,10707.1441,34222649.709934,78789,5907.8615,18890030.561139,ETH,13.970000000000255,0.43778830726033696,0.9509289239571218,34316503.911941,30.25,,,,,,,,,,,,,,0.7904132231405061,0,3,1,1
3205.01,3229.82,3200.59,3221.54,15474.3777,49739728.498879,113362,8556.5956,27506667.248526,ETH,16.529999999999745,0.5157550210451681,0.9132691160067368,49851326.735658,29.230000000000018,,,,,,,,,0.005157550210451722,,,,,0.7167293876154569,0,3,1,1
3221.55,3223.0,3207.76,3219.69,7730.8201,24845254.200612,78718,3298.4771,10601336.819412,ETH,-1.8600000000001273,-0.05773618289333169,0.4750978876225086,24890844.167769,15.239999999999782,,,,,,,,,-0.0005742595156353891,,,,,0.7828083989501317,0,3,1,1
3219.69,3227.8,3214.74,3222.71,9588.3875,30893017.923593,69356,5296.951,17067953.448393,ETH,3.019999999999982,0.09379785010358084,0.4062536939223826,30900592.280125003,13.0600000000004,,,,,,,,,0.0009379785010357189,,,,,0.6102603369065858,0,3,1,1
3222.71,3224.28,3209.24,3220.01,8195.6106,26361456.719624,75591,3844.0164,12365483.2525,ETH,-2.699999999999818,-0.08378042082594518,0.46864678241578756,26389948.088106003,15.040000000000418,,,,,,,,,-0.0008378042082594073,,,,,0.716090425531924,0,3,1,1
3220.0,3275.97,3215.76,3263.14,35312.3398,114829410.378852,188142,20183.1221,65624384.712394,ETH,43.13999999999987,1.339751552795027,1.8723412194939788,115229108.494972,60.20999999999958,,,,,,,,,0.013394368340470919,,,,,0.7869124730111274,0,3,1,1
3263.14,3281.0,3241.05,3271.24,40826.8424,133131256.580249,216469,21487.0381,70098658.993312,ETH,8.099999999999909,0.24822716769736844,1.2326252294780955,133554399.932576,39.94999999999982,18262.21745714286,2.235590639297283,3231.905714285714,24.929523900482863,,,,,0.0024822716769736797,,,,,0.7556946182728345,0,3,1,1
3271.23,3280.0,3248.31,3255.3,30854.1148,100715642.967459,196836,14025.6088,45807633.573464,ETH,-15.929999999999836,-0.48697279005144356,0.9755842268748998,100439399.90844001,31.690000000000055,21140.356128571428,1.4594888852558314,3239.09,23.06332731126729,,,,,-0.004872769958792267,0.01569105868624443,,0.0058119189605059015,,0.22057431366362337,0,3,1,1
3255.3,3279.95,3249.06,3278.93,14958.1308,48813754.124427,97329,7327.9085,23918403.667422,ETH,23.629999999999654,0.7258931588486361,0.9507365207167573,49046663.824044,30.889999999999873,21066.606571428572,0.7100398799058057,3247.2885714285717,25.82056507809903,,,,,0.007258931588486339,0.017814461406656434,,0.006037559579528894,,0.9669796050501785,0,3,1,1
3278.94,3283.43,3257.42,3272.6,14140.3626,46225484.340091,124150,6170.5432,20176490.357899,ETH,-6.3400000000001455,-0.19335516965849162,0.7984846903377446,46275750.64476,26.009999999999764,21982.2555,0.6432625896828468,3254.847142857143,24.08067255032846,,,,,-0.0019305078180992252,0.01643325910258442,,0.00617441207335569,,0.5836216839677038,0,3,1,1
3272.6,3276.97,3255.22,3270.34,11568.313,37817715.693569,111023,5313.3974,17370069.613314,ETH,-2.2599999999997635,-0.06905824115381543,0.6681576053231426,37832316.736420006,21.75,22265.101999999995,0.5195715249811118,3261.6514285714284,19.842787462593396,,,,,-0.0006905824115381876,0.014779486829407551,,0.0062663716046409456,,0.6951724137931193,0,3,1,1
3270.34,3276.27,3255.9,3271.61,8095.3391,26457287.054737,88843,4040.0435,13204005.826425,ETH,1.2699999999999818,0.03883388271555807,0.6256334654012682,26484792.352951,20.36999999999989,22250.7775,0.36382275181170637,3269.022857142857,7.607191146723405,,,,,0.00038833882715549883,0.016024794954052846,,0.006186711461172306,,0.7712322042219009,0,3,1,1
3271.6,3273.2,3228.68,3231.6,20815.1696,67584666.278426,156095,9268.1234,30105936.508161,ETH,-40.0,-1.222643354933366,1.378891683288526,67266302.07936001,44.51999999999998,20179.753185714286,1.0314878189261274,3264.5171428571425,16.181100821929892,,,,,-0.012229452777073102,-0.009665536875524738,,0.006101408308839838,,0.06558849955076536,0,3,1,1
3231.6,3248.13,3231.5,3244.35,7689.4888,24912740.604237,83470,4128.6616,13377518.517543,ETH,12.75,0.39454140363906426,0.514621692712366,24947392.98828,16.63000000000011,15445.84552857143,0.49783540731235015,3260.675714285714,17.460378820958386,3246.2907142857143,25.502746598472882,,,0.003945414036390593,-0.008220124478790836,,0.006277904099315787,,0.7726999398676985,0,3,1,1
3244.35,3272.0,3238.28,3260.88,7185.0461,23388997.398633,70165,4051.7758,13188457.478583,ETH,16.5300000000002,0.5095011327384592,1.041293526192911,23429573.126568,33.7199999999998,12064.550000000001,0.5955502774657985,3261.4728571428573,17.30069527917302,3250.281428571428,22.771202750958565,,,0.0050950113273846576,0.0017141277301631064,,0.00642455504882584,,0.6702253855278779,0,3,1,1
3260.88,3270.0,3245.52,3247.39,6458.8402,21049892.730514,69101,3345.0061,10904715.819313,ETH,-13.490000000000236,-0.4136920095189101,0.7542705021075211,20974373.077078,24.480000000000018,10850.365628571428,0.5952647515391035,3256.967142857143,16.05900133288112,3252.1278571428566,21.25924276043813,,,-0.004136920095189067,-0.00961899156127155,,0.005766295055628623,,0.07638888888888437,0,3,1,1
