open,high,low,close,volume,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,symbol,price_change,price_change_pct,high_low_pct,volume_usd,price_range,volume_ma_7,volume_ratio,close_ma_7,close_std_7,close_ma_14,close_std_14,close_ma_30,close_std_30,returns_1d,returns_7d,returns_30d,volatility_7d,volatility_30d,close_position,hour,day_of_week,month,quarter
105132.07,105368.84,104925.26,105060.01,472.13816,49658576.041474,98331,232.46588,24452977.0788031,BTC,-72.06000000001222,-0.06854235819765768,0.42275806607484395,49602839.8109816,443.58000000000175,,,,,,,,,,,,,,0.3037783488885871,0,3,1,1
105060.01,105534.0,105021.36,105412.05,501.17589,52784656.0516435,105283,216.80569,22832861.9071258,BTC,352.04000000000815,0.33508468160245575,0.48812927198809786,52829977.9754745,512.6399999999994,,,,,,,,,0.0033508468160245997,,,,,0.7621137640449492,0,3,1,1
105412.05,105412.06,105117.63,105345.4,363.29061,38235465.2777518,78135,156.28736,16446820.2487719,BTC,-66.65000000000873,-0.06322806548208552,0.28009573655721975,38270994.626694,294.429999999993,,,,,,,,,-0.0006322806548209048,,,,,0.7735964405800867,0,3,1,1
105345.41,105392.0,105078.01,105300.63,353.61117,37212275.9529198,74930,118.15919,12433944.3550057,BTC,-44.779999999998836,-0.042507784629628224,0.2988160891132267,37235478.9760371,313.99000000000524,,,,,,,,,-0.00042498296081261433,,,,,0.709003471448155,0,3,1,1
105300.63,105312.93,104836.85,105020.0,440.08456,46230509.5468716,105984,172.24352,18093626.944115,BTC,-280.63000000000466,-0.2665036287057396,0.4541151322268717,46217680.4912,476.0799999999872,,,,,,,,,-0.0026650362870573874,,,,,0.38470425138631975,0,3,1,1
105020.01,105367.57,104836.58,104879.99,806.07062,84722738.7377408,161243,391.4834,41143893.0577018,BTC,-140.01999999998952,-0.13332697264072774,0.5064930580528335,84540678.5648938,530.9900000000052,,,,,,,,,-0.0013331746334031003,,,,,0.08175295203300074,0,3,1,1
104879.99,106222.08,104660.0,105920.57,2212.13745,233412426.59803408,383695,1318.11771,139134516.6783088,BTC,1040.5800000000017,0.9921625659956697,1.4925281865086963,234310859.62234652,1562.0800000000017,735.5012085714286,3.0076598436821835,105276.95,343.61033332347193,,,,,0.009921625659956801,,,,,0.8069817166854486,0,3,1,1
105920.57,106457.44,105353.85,105564.0,2128.51885,225443514.4881521,442348,1120.58648,118714331.9654751,BTC,-356.570000000007,-0.33663904943110384,1.0475079933006686,224694963.8814,1103.5899999999965,972.1270214285713,2.1895480766207633,105348.94857142857,343.3794174295933,,,,,-0.003366390494311089,0.004797163068992694,,0.004602506174127753,,0.19042397992007434,0,3,1,1
105563.99,106013.01,105455.3,105696.96,992.31396,104982860.9465737,224272,588.8952,62303707.6302068,BTC,132.97000000000116,0.12596151395944882,0.5288591469560959,104884568.9375616,557.7099999999919,1042.2896028571429,0.9520520566259619,105389.65000000001,368.1010880179534,,,,,0.001259520291008398,0.002702821925956389,,0.00446710444654573,,0.4333076329992416,0,3,1,1
105696.96,105698.27,104900.14,105300.01,858.48699,90344879.2622652,219392,390.48894,41089034.1462417,BTC,-396.95000000001164,-0.37555479362889116,0.7608474116431156,90398688.6318699,798.1300000000047,1113.031942857143,0.771304898758136,105383.16571428571,369.4079523082476,,,,,-0.003755547936288961,-0.00043086836254835337,,0.004734681075349384,,0.5010086076203037,0,3,1,1
105300.01,105583.39,104762.59,105578.95,669.46961,70447605.273754,196049,341.90979,35981051.4448385,BTC,278.9400000000023,0.2649002597435673,0.7834857843816222,70681898.4807095,820.8000000000029,1158.154577142857,0.5780485810897259,105422.92571428571,373.99348269086124,,,,,0.0026490025974357234,0.0026430990963681733,,0.004835797135531042,,0.994590643274851,0,3,1,1
105578.96,105776.87,105231.58,105711.27,622.48257,65652871.9451436,166039,335.30832,35362523.1094351,BTC,132.30999999999767,0.1253185293736533,0.5181809491029153,65803423.02756391,545.2899999999936,1184.2114357142857,0.5256515443329887,105521.67857142857,339.5475319906713,,,,,0.0012532801282831851,0.006582270043801186,,0.004646695707143547,,0.8796970419410002,0,3,1,1
105711.28,105821.62,104815.82,104907.15,1118.42753,117823911.1498332,267107,592.7469,62446917.9251235,BTC,-804.1300000000047,-0.7606851416424101,0.9595879705945041,117331044.65383948,1005.7999999999884,1228.8338514285715,0.9101535807300397,105525.55857142857,331.04151816294245,,,,,-0.007606757538718534,0.0002589626486424468,,0.005655299608703687,,0.09080334062436693,0,3,1,1
104907.1,105217.17,104805.15,105048.89,488.85335,51346252.0633345,134442,258.13444,27113413.3082556,BTC,141.7899999999936,0.1351576776023678,0.393129536096274,51353501.7902815,412.0200000000041,982.6504085714286,0.4974845028667847,105401.03285714285,321.49734165383234,105338.99142857142,326.1028100239176,,,0.0013510995199088605,-0.008229562964021109,,0.0037783709222501583,,0.5915732246007545,0,3,1,1
105048.89,105351.29,104962.11,105094.56,279.52567,29387956.3847173,62704,163.03431,17142301.0768893,BTC,45.669999999998254,0.04347499530932526,0.370781418170798,29376627.297355197,389.179999999993,718.5085257142856,0.38903598217170376,105333.97,330.66815666667554,105341.45928571429,323.95279529026175,,,0.0004347499530932275,-0.004446970558144803,,0.003682651430226919,,0.3403309522585936,0,3,1,1
