open,high,low,close,volume,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,symbol,price_change,price_change_pct,high_low_pct,volume_usd,price_range,volume_ma_7,volume_ratio,close_ma_7,close_std_7,close_ma_14,close_std_14,close_ma_30,close_std_30,returns_1d,returns_7d,returns_30d,volatility_7d,volatility_30d,close_position,hour,day_of_week,month,quarter
677.22,678.89,677.22,678.64,6837.549,4638447.02017,17232,3994.333,2709676.07526,BNB,1.419999999999959,0.20968075366940717,0.2465963793154306,4640234.2533599995,1.669999999999959,,,,,,,,,,,,,,0.8502994011976012,0,3,1,1
678.64,678.8,676.68,678.64,4809.174,3259736.3843,16047,2309.105,1565238.10271,BNB,0.0,0.0,0.3132943193237579,3263697.84336,2.1200000000000045,,,,,,,,,0.0,,,,,0.9245283018868077,0,3,1,1
678.64,679.13,677.9,678.58,4821.74,3271599.34296,13117,2274.406,1543265.69959,BNB,-0.05999999999994543,-0.008841211835427536,0.18144269066234225,3271936.3292,1.2300000000000182,,,,,,,,,-8.841211835430851e-05,,,,,0.5528455284553281,0,3,1,1
678.57,678.64,676.92,678.13,3766.701,2553069.15621,13097,1451.908,984238.02782,BNB,-0.44000000000005457,-0.06484224177314861,0.2540920640548407,2554312.94913,1.7200000000000273,,,,,,,,,-0.0006631495181114166,,,,,0.7034883720930333,0,3,1,1
678.13,680.18,677.93,679.19,7970.906,5414140.7303,20485,4808.637,3266421.39231,BNB,1.0600000000000591,0.15631221152287308,0.33189267328485245,5413759.646140001,2.25,,,,,,,,,0.0015631221152287988,,,,,0.5600000000000465,0,3,1,1
679.2,682.4,677.81,682.09,13521.063,9194461.91181,32490,7715.026,5248105.51571,BNB,2.8899999999999864,0.4255005889281487,0.6771809209070435,9222581.86167,4.590000000000032,,,,,,,,,0.004269791958067648,,,,,0.9324618736383565,0,3,1,1
682.09,682.99,679.32,680.38,10173.225,6931180.40462,34894,4583.112,3123317.64769,BNB,-1.7100000000000364,-0.2507000542450463,0.5402461284814165,6921658.8255,3.669999999999959,7414.336857142857,1.3721018070819473,679.3785714285714,1.3951036827829026,,,,,-0.002507000542450455,,,,,0.28882833787464773,0,3,1,1
680.39,681.88,679.13,681.64,5621.72,3827192.75761,23133,3092.625,2105571.84639,BNB,1.25,0.18371816164258734,0.4049298367028404,3831989.2208000002,2.75,7240.647,0.7764112792682754,679.8071428571429,1.5790684414734444,,,,,0.0018519062876627412,0.004420605917717868,,0.002161706256867685,,0.9127272727272694,0,3,1,1
681.64,681.64,679.96,680.63,4721.047,3213393.65416,17175,2385.345,1623792.60854,BNB,-1.009999999999991,-0.1481720556305368,0.24707335725630183,3213286.2196099996,1.67999999999995,7228.057428571429,0.653155712534658,680.0914285714285,1.5116153453776715,,,,,-0.0014817205563053548,0.002932335258752916,,0.0023019393264663594,,0.39880952380951135,0,3,1,1
680.63,681.2,678.63,681.1,3684.096,2505963.62077,14972,1980.116,1347274.11766,BNB,0.4700000000000273,0.06905367086376259,0.37870415395724477,2509237.7856,2.57000000000005,7065.536857142856,0.5214177032104204,680.4514285714286,1.3865716542542679,,,,,0.0006905367086376124,0.003713637301423489,,0.002292035672474486,,0.961089494163416,0,3,1,1
