Symbol,Crypto_Name,Current_Price,Price_Change_24h,Total_Return_6m,Average_Volume,Volatility_30d,Max_Price,Min_Price,Average_RSI,Current_RSI,Days_Above_MA30,Total_Days,Bullish_Percentage,High_Volatility_Days,Market_Cap_Proxy,Risk_Level,Performance
BTC,Bitcoin,118764.85,-0.0295791270689496,13.044773172970391,924.888686897893,0.0043227001122630206,122736.04,74810.01,50.79092163913107,61.79752947098103,2245,4319,51.97962491317435,1078,109844266.16612522,Low,Good
ETH,Ethereum,3828.8,0.5657612035952355,19.462965794178476,26588.78879428108,0.007468682226999653,3929.8,1418.8,51.271113182379715,55.57556656160887,2200,4319,50.937717064135214,1078,101803154.53554341,Low,Good
BNB,Binance Coin,825.3,-0.5722546834528041,21.610868796416362,11955.458499953693,0.004722635727765429,844.5124999999999,518.35,51.46880630004035,44.13309982486863,2341,4319,54.20236165779115,1078,9866839.900011782,Low,Excellent
ADA,Cardano,0.8083,0.8735804317983286,-16.107939802802285,7778539.999606391,0.009953733769377962,1.1299750000000002,0.5161,49.74681228471735,56.25990491283679,2072,4319,47.9740680713128,1078,6287393.881681846,Low,Fair
SOL,Solana,186.05,0.6600660066006594,-22.633898868928803,160981.03142741375,0.008649045615536742,243.21,97.14,49.80935876930687,50.7490636704121,2099,4319,48.59921278073628,1078,29950520.89707033,Low,Poor
